date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:24	16069/16069	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202019%2020:38:15%20GMT	http://themezinho.net/tourog/index.html	D:/Epic%20Website-1/themezinho.net/tourog/index.html	(from )
15:59:25	70/70	---M-Z	200	added ('OK')	text/plain	date:Thu,%2015%20Aug%202019%2010:29:25%20GMT	http://themezinho.net/robots.txt		(from )
15:59:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Aug%202019%2010:29:25%20GMT	http://www.themezinho.net/tourog/preview.png	D:/Epic%20Website-1/www.themezinho.net/tourog/preview.1.delayed	(from http://themezinho.net/tourog/index.html)
15:59:27	37970/37970	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2010:29:26%20GMT	http://themezinho.net/tourog/preview.png	D:/Epic%20Website-1/themezinho.net/tourog/preview.png	(from http://themezinho.net/tourog/index.html)
16:02:07	1013607/1013607	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jul%202019%2006:04:17%20GMT	http://themezinho.net/tourog/ico/apple-touch-icon-144-precomposed.png	D:/Epic%20Website-1/themezinho.net/tourog/ico/apple-touch-icon-144-precomposed.png	(from http://themezinho.net/tourog/index.html)
16:02:11	1012094/1012094	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jul%202019%2006:04:18%20GMT	http://themezinho.net/tourog/ico/apple-touch-icon-114-precomposed.png	D:/Epic%20Website-1/themezinho.net/tourog/ico/apple-touch-icon-114-precomposed.png	(from http://themezinho.net/tourog/index.html)
16:02:11	1010378/1010378	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jul%202019%2006:04:14%20GMT	http://themezinho.net/tourog/ico/apple-touch-icon-72-precomposed.png	D:/Epic%20Website-1/themezinho.net/tourog/ico/apple-touch-icon-72-precomposed.png	(from http://themezinho.net/tourog/index.html)
16:02:12	79884/79884	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2003:46:17%20GMT	http://themezinho.net/tourog/css/fontawesome.min.css	D:/Epic%20Website-1/themezinho.net/tourog/css/fontawesome.min.css	(from http://themezinho.net/tourog/index.html)
16:02:12	14125/14125	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2003:46:17%20GMT	http://themezinho.net/tourog/css/fancybox.min.css	D:/Epic%20Website-1/themezinho.net/tourog/css/fancybox.min.css	(from http://themezinho.net/tourog/index.html)
16:02:12	4953/4953	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2003:46:18%20GMT	http://themezinho.net/tourog/css/hamburger.min.css	D:/Epic%20Website-1/themezinho.net/tourog/css/hamburger.min.css	(from http://themezinho.net/tourog/index.html)
16:02:12	1009971/1009971	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jul%202019%2006:04:19%20GMT	http://themezinho.net/tourog/ico/apple-touch-icon-57-precomposed.png	D:/Epic%20Website-1/themezinho.net/tourog/ico/apple-touch-icon-57-precomposed.png	(from http://themezinho.net/tourog/index.html)
